"序号","省份","学校名称","类型","学校标识码","主管部门","所在地","办学层次","备注","985","211","双一流","隶属关系","院校层级","数据状态"
"361","安徽","安徽财经大学","公办普通本科","4134010378","安徽省","蚌埠市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"373","安徽","安徽城市管理职业大学","公办职业本科","","","","","","","","","待补","公办本科","待校对"
"344","安徽","安徽大学","公办普通本科","4134010357","安徽省","合肥市","本科","","","是","是","其他所属","211/双一流","已匹配教育部名单"
"347","安徽","安徽工业大学","公办普通本科","4134010360","安徽省","马鞍山市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"366","安徽","安徽建筑大学","公办普通本科","4134010878","安徽省","合肥市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"367","安徽","安徽科技学院","公办普通本科","4134010879","安徽省","滁州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"348","安徽","安徽理工大学","公办普通本科","4134010361","安徽省","淮南市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"349","安徽","安徽农业大学","公办普通本科","4134010364","安徽省","合肥市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"354","安徽","安徽师范大学","公办普通本科","4134010370","安徽省","芜湖市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"350","安徽","安徽医科大学","公办普通本科","4134010366","安徽省","合肥市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"374","安徽","安徽医学职业大学","公办职业本科","","","","","","","","","待补","公办本科","待校对"
"371","安徽","安徽艺术学院","公办普通本科","4134014682","安徽省","合肥市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"353","安徽","安徽中医药大学","公办普通本科","4134010369","安徽省","合肥市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"356","安徽","安庆师范大学","公办普通本科","4134010372","安徽省","安庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"369","安徽","蚌埠学院","公办普通本科","4134011305","安徽省","蚌埠市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"351","安徽","蚌埠医学院","公办普通本科","","","","","","","","","待补","公办本科","待校对"
"363","安徽","巢湖学院","公办普通本科","4134010380","安徽省","合肥市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"370","安徽","池州学院","公办普通本科","4134011306","安徽省","池州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"360","安徽","滁州学院","公办普通本科","4134010377","安徽省","滁州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"355","安徽","阜阳师范大学","公办普通本科","4134010371","安徽省","阜阳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"346","安徽","合肥工业大学","公办普通本科","4134010359","教育部","合肥市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"372","安徽","合肥师范学院","公办普通本科","4134014098","安徽省","合肥市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"368","安徽","合肥学院","公办普通本科","","","","","","","","","待补","公办本科","待校对"
"357","安徽","淮北师范大学","公办普通本科","4134010373","安徽省","淮北市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"364","安徽","淮南师范学院","公办普通本科","4134010381","安徽省","淮南市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"358","安徽","黄山学院","公办普通本科","4134010375","安徽省","黄山市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"362","安徽","宿州学院","公办普通本科","4134010379","安徽省","宿州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"365","安徽","铜陵学院","公办普通本科","4134010383","安徽省","铜陵市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"352","安徽","皖南医学院","公办普通本科","4134010368","安徽省","芜湖市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"359","安徽","皖西学院","公办普通本科","4134010376","安徽省","六安市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
